"","start_speed","pitch_type","inning_side","inning","event","pitcher_name","y","m","d","team_name","tmax","tmin","tdmean","tmean","heat_index","rh","type","home","away"
"1",92.1,"FF","top",1,"Walk","Cole Hamels","2017","09","01","Texas Rangers",31.0820007324219,19.8299999237061,16.5189990997314,25.456000328064,25.57,57.7919482628171,"S","tex","ana"
"2",93.7,"FF","top",1,"Walk","Cole Hamels","2017","09","01","Texas Rangers",31.0820007324219,19.8299999237061,16.5189990997314,25.456000328064,25.57,57.7919482628171,"B","tex","ana"
"3",94.3,"FF","top",1,"Walk","Cole Hamels","2017","09","01","Texas Rangers",31.0820007324219,19.8299999237061,16.5189990997314,25.456000328064,25.57,57.7919482628171,"B","tex","ana"
"4",92.6,"FF","top",1,"Walk","Cole Hamels","2017","09","01","Texas Rangers",31.0820007324219,19.8299999237061,16.5189990997314,25.456000328064,25.57,57.7919482628171,"B","tex","ana"
"5",93,"FF","top",1,"Walk","Cole Hamels","2017","09","01","Texas Rangers",31.0820007324219,19.8299999237061,16.5189990997314,25.456000328064,25.57,57.7919482628171,"S","tex","ana"
"6",94,"FF","top",1,"Walk","Cole Hamels","2017","09","01","Texas Rangers",31.0820007324219,19.8299999237061,16.5189990997314,25.456000328064,25.57,57.7919482628171,"B","tex","ana"
"7",93.7,"FF","top",1,"Groundout","Cole Hamels","2017","09","01","Texas Rangers",31.0820007324219,19.8299999237061,16.5189990997314,25.456000328064,25.57,57.7919482628171,"B","tex","ana"
"8",92.9,"FF","top",1,"Double","Cole Hamels","2017","09","01","Texas Rangers",31.0820007324219,19.8299999237061,16.5189990997314,25.456000328064,25.57,57.7919482628171,"X","tex","ana"
"9",93.7,"FF","top",1,"Strikeout","Cole Hamels","2017","09","01","Texas Rangers",31.0820007324219,19.8299999237061,16.5189990997314,25.456000328064,25.57,57.7919482628171,"B","tex","ana"
"10",93.8,"FF","top",1,"Strikeout","Cole Hamels","2017","09","01","Texas Rangers",31.0820007324219,19.8299999237061,16.5189990997314,25.456000328064,25.57,57.7919482628171,"S","tex","ana"
